,Media Source,Date,Text,Compound,Positive,Neutral,Negative,Tweet Count
88,BBC,Wed Jul 04 18:02:03 +0000 2018,The Dutch have a prison problem - too many cells and not enough prisoners. https://t.co/uIZ69q8dlF,-0.5103,0.144,0.535,0.321,89
89,BBC,Wed Jul 04 16:52:02 +0000 2018,😂 'Some people say policing in the country is a bit like #HotFuzz'. https://t.co/eOdStnQLN3,0.6597,0.284,0.631,0.086,90
90,BBC,Wed Jul 04 16:02:01 +0000 2018,"💃 Meet the incredible 23-year-old @SherrieSilver, who choreographed Childish Gambino's #ThisIsAmerica video. https://t.co/jUFLCUBXdl",-0.296,0.0,0.855,0.145,91
91,BBC,Wed Jul 04 14:27:00 +0000 2018,"RT @BBCWthrWatchers: If you find a pot of gold at the end of a regular rainbow, what do you get at the end of a rare #fogbow? 🤔 

Tomasz @S…",0.0,0.0,1.0,0.0,92
92,BBC,Wed Jul 04 14:04:05 +0000 2018,When this couple went into hospital for the birth of their baby it wasn't just mum who had an eventful night... dad… https://t.co/5FFq82YPZm,0.0,0.0,1.0,0.0,93
93,BBC,Wed Jul 04 13:01:25 +0000 2018,RT @BBCFOUR: Every Olympic athlete has battles to fight. Gymnast Margarita Mamun had to fight a war. https://t.co/cpsI8CyybU,-0.8934,0.0,0.526,0.474,94
94,BBC,Wed Jul 04 12:34:02 +0000 2018,"""Y'alright love?""

😂 This crow has a Yorkshire accent and it's the best thing you'll hear today. https://t.co/3J8BQGiZM7",0.7964,0.287,0.645,0.068,95
95,BBC,Wed Jul 04 12:01:08 +0000 2018,"🔊🐟🐡🐬🐠 
 The sea is a wonderful place!  https://t.co/AFvOD3y9Os",0.6114,0.4,0.6,0.0,96
96,BBC,Wed Jul 04 11:01:08 +0000 2018,"For the first time, astronomers have captured an image of a planet that's still forming. 🔭🌟📸
https://t.co/WoDnm1SdVj https://t.co/Kq6llPJGLZ",0.0,0.0,1.0,0.0,97
97,BBC,Wed Jul 04 10:17:15 +0000 2018,A US hunter has come under criticism after pictures taken in South Africa of her posing with a dead giraffe went vi… https://t.co/dYhxZkOuUH,-0.802,0.0,0.725,0.275,98
98,BBC,Wed Jul 04 08:00:11 +0000 2018,🎸 This amazing human learnt to play guitar with a hook. https://t.co/GaTQ0FDpF4,0.7351,0.408,0.592,0.0,99
99,BBC,Wed Jul 04 07:23:02 +0000 2018,Lung cancer is commonly associated with smoking. But rates of the disease among non-smokers – and women – are risin… https://t.co/vYe3Cct7bp,-0.4019,0.0,0.87,0.13,100
100,BBC,Wed Jul 04 07:00:12 +0000 2018,🎹🎶 Colette has played the piano for over a century. https://t.co/MeTB1jsYm8,0.34,0.211,0.789,0.0,101
